# ASY method (with partition functions). 
# All double quantities are log10(x); rates in units of s^-1
#
#  t          dt   2/Rmin Reaction_Rmin       2/Rmax   Reaction_Rmax     dt_FE    dt_EA  trial_dt   interpT   interpRho
 2.2058  1.2058     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  1.1644  1.2058 7.3979e+00 2.0000e+00
 2.2886  1.2886     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  1.2472  1.2886 7.3979e+00 2.0000e+00
 2.3300  1.3300     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  1.2886  1.3300 7.3979e+00 2.0000e+00
 2.4127  1.4127     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  1.3714  1.4127 7.3979e+00 2.0000e+00
 2.4541  1.4541     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  1.4127  1.4541 7.3979e+00 2.0000e+00
 2.5369  1.5369     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  1.4955  1.5369 7.3979e+00 2.0000e+00
 2.5783  1.5783     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  1.5369  1.5783 7.3979e+00 2.0000e+00
 2.6611  1.6611     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  1.6197  1.6611 7.3979e+00 2.0000e+00
 2.7025  1.7025     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  1.6611  1.7025 7.3979e+00 2.0000e+00
 2.7853  1.7853     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  1.7439  1.7853 7.3979e+00 2.0000e+00
 2.8267  1.8267     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  1.7853  1.8267 7.3979e+00 2.0000e+00
 2.9095  1.9095     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  1.8681  1.9095 7.3979e+00 2.0000e+00
 2.9509  1.9509     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  1.9095  1.9509 7.3979e+00 2.0000e+00
 3.0336  2.0336     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  1.9922  2.0336 7.3979e+00 2.0000e+00
 3.0750  2.0750     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  2.0336  2.0750 7.3979e+00 2.0000e+00
 3.1578  2.1578     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  2.1164  2.1578 7.3979e+00 2.0000e+00
 3.1992  2.1992     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  2.1578  2.1992 7.3979e+00 2.0000e+00
 3.2820  2.2820     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  2.2406  2.2820 7.3979e+00 2.0000e+00
 3.3234  2.3234     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  2.2820  2.3234 7.3979e+00 2.0000e+00
 3.4062  2.4062     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  2.3648  2.4062 7.3979e+00 2.0000e+00
 3.4476  2.4476     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  2.4062  2.4476 7.3979e+00 2.0000e+00
 3.5304  2.5304     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  2.4890  2.5304 7.3979e+00 2.0000e+00
 3.5717  2.5717     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  2.5304  2.5717 7.3979e+00 2.0000e+00
 3.6545  2.6545     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  2.6131  2.6545 7.3979e+00 2.0000e+00
 3.6959  2.6959     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  2.6545  2.6959 7.3979e+00 2.0000e+00
 3.7787  2.7787     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  2.7373  2.7787 7.3979e+00 2.0000e+00
 3.8201  2.8201     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  2.7787  2.8201 7.3979e+00 2.0000e+00
 3.9029  2.9029     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  2.8615  2.9029 7.3979e+00 2.0000e+00
 3.9443  2.9443     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  2.9029  2.9443 7.3979e+00 2.0000e+00
 4.0271  3.0271     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  2.9857  3.0271 7.3979e+00 2.0000e+00
 4.0685  3.0685     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  3.0271  3.0685 7.3979e+00 2.0000e+00
 4.1098  3.1098     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  3.0685  3.1098 7.3979e+00 2.0000e+00
 4.1926  3.1926     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  3.1512  3.1926 7.3979e+00 2.0000e+00
 4.2340  3.2340     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  3.1926  3.2340 7.3979e+00 2.0000e+00
 4.3168  3.3168     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  3.2754  3.3168 7.3979e+00 2.0000e+00
 4.3582  3.3582     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  3.3168  3.3582 7.3979e+00 2.0000e+00
 4.4410  3.4410     inf p+v51-->n+cr51 -0.2524 co54-->fe54+e++nu 24.4466  3.3996  3.4410 7.3979e+00 2.0000e+00
 4.4824  3.4824     inf he4+ti48-->p+v51 -0.2524 co54-->fe54+e++nu 24.4466  3.4410  3.4824 7.3979e+00 2.0000e+00
 4.5652  3.5652     inf p+v51-->n+cr51 -0.2524 co54-->fe54+e++nu 24.4466  3.5238  3.5652 7.3979e+00 2.0000e+00
 4.6066  3.6066     inf p+v51-->n+cr51 -0.2524 co54-->fe54+e++nu 24.4466  3.5652  3.6066 7.3979e+00 2.0000e+00
 4.6893  3.6893     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  3.6480  3.6893 7.3979e+00 2.0000e+00
 4.7307  3.7307     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  3.6893  3.7307 7.3979e+00 2.0000e+00
 4.8135  3.8135     inf he4+sc44-->n+v47 -0.2524 co54-->fe54+e++nu 24.4466  3.7721  3.8135 7.3979e+00 2.0000e+00
 4.8549  3.8549     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  3.8135  3.8549 7.3979e+00 2.0000e+00
 4.9377  3.9377     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  3.8963  3.9377 7.3979e+00 2.0000e+00
 4.9791  3.9791     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  3.9377  3.9791 7.3979e+00 2.0000e+00
 5.0619  4.0619     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  4.0205  4.0619 7.3979e+00 2.0000e+00
 5.1033  4.1033     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  4.0619  4.1033 7.3979e+00 2.0000e+00
 5.1861  4.1861     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  4.1447  4.1861 7.3979e+00 2.0000e+00
 5.2275  4.2275     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  4.1861  4.2275 7.3979e+00 2.0000e+00
 5.3102  4.3102     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  4.2688  4.3102 7.3979e+00 2.0000e+00
 5.3516  4.3516     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  4.3102  4.3516 7.3979e+00 2.0000e+00
 5.4344  4.4344     inf he4+co54-->cu58 -0.2524 co54-->fe54+e++nu 24.4466  4.3930  4.4344 7.3979e+00 2.0000e+00
 5.4758  4.4758     inf he4+co54-->cu58 -0.2524 co54-->fe54+e++nu 24.4466  4.4344  4.4758 7.3979e+00 2.0000e+00
 5.5586  4.5586     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  4.5172  4.5586 7.3979e+00 2.0000e+00
