Wed Feb 12 12:42:44 2025
*** REMOVE RG 107 where=1 Steps=344 RGeq=79 t=1.2383e-06 logt=-5.9072e+00 devious=4.7370e+02 Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=354 RGeq=80 t=3.2118e-06 logt=-5.4933e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=359 RGeq=81 t=5.1726e-06 logt=-5.2863e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=364 RGeq=82 t=8.3305e-06 logt=-5.0793e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=365 RGeq=83 t=9.1636e-06 logt=-5.0379e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=367 RGeq=84 t=1.1088e-05 logt=-4.9552e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=369 RGeq=85 t=1.3416e-05 logt=-4.8724e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=371 RGeq=86 t=1.6234e-05 logt=-4.7896e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=373 RGeq=87 t=1.9643e-05 logt=-4.7068e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=379 RGeq=88 t=3.4799e-05 logt=-4.4584e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=383 RGeq=89 t=5.0949e-05 logt=-4.2929e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=384 RGeq=90 t=5.6044e-05 logt=-4.2515e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 66 Steps=386 RGeq=91 t=6.7813e-05 logt=-4.1687e+00 devious=5.0760e+40 Rmin=0.0000 Rmax=0.0000
*** REMOVE RG 66 where=1 Steps=387 RGeq=90 t=7.4594e-05 logt=-4.1273e+00 devious=4.6145e+40 Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=391 RGeq=91 t=1.0921e-04 logt=-3.9617e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=392 RGeq=92 t=1.2013e-04 logt=-3.9203e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=395 RGeq=93 t=1.5990e-04 logt=-3.7962e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=397 RGeq=94 t=1.9348e-04 logt=-3.7134e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 66 Steps=398 RGeq=95 t=2.1283e-04 logt=-3.6720e+00 devious=1.6174e+40 Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=398 RGeq=96 t=2.1283e-04 logt=-3.6720e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** REMOVE RG 66 where=1 Steps=399 RGeq=95 t=2.3411e-04 logt=-3.6306e+00 devious=1.4703e+40 Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=401 RGeq=96 t=2.8327e-04 logt=-3.5478e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=402 RGeq=97 t=3.1160e-04 logt=-3.5064e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=403 RGeq=98 t=3.4276e-04 logt=-3.4650e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=407 RGeq=99 t=5.0183e-04 logt=-3.2994e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=410 RGeq=100 t=6.6794e-04 logt=-3.1753e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 66 Steps=413 RGeq=101 t=8.8902e-04 logt=-3.0511e+00 devious=3.8718e+39 Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=413 RGeq=102 t=8.8902e-04 logt=-3.0511e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** REMOVE RG 66 where=1 Steps=414 RGeq=101 t=9.7793e-04 logt=-3.0097e+00 devious=3.5198e+39 Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=415 RGeq=102 t=1.0757e-03 logt=-2.9683e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 107 Steps=416 RGeq=103 t=1.1833e-03 logt=-2.9269e+00 devious=4.5267e+05 Rmin=0.0000 Rmax=0.0000
*** REMOVE RG 107 where=1 Steps=417 RGeq=102 t=1.3016e-03 logt=-2.8855e+00 devious=4.9793e+05 Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=417 RGeq=103 t=1.3016e-03 logt=-2.8855e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 107 Steps=418 RGeq=104 t=1.4318e-03 logt=-2.8441e+00 devious=5.4773e+05 Rmin=0.0000 Rmax=0.0000
*** REMOVE RG 107 where=1 Steps=419 RGeq=103 t=1.5750e-03 logt=-2.8027e+00 devious=6.0250e+05 Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=419 RGeq=104 t=1.5750e-03 logt=-2.8027e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 66 Steps=422 RGeq=105 t=2.0963e-03 logt=-2.6786e+00 devious=1.6420e+39 Rmin=0.0000 Rmax=0.0000
*** REMOVE RG 66 where=1 Steps=423 RGeq=104 t=2.3059e-03 logt=-2.6372e+00 devious=1.4928e+39 Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=423 RGeq=105 t=2.3059e-03 logt=-2.6372e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 107 Steps=425 RGeq=106 t=2.7901e-03 logt=-2.5544e+00 devious=1.0674e+06 Rmin=0.0000 Rmax=0.0000
*** REMOVE RG 107 where=1 Steps=426 RGeq=105 t=3.0692e-03 logt=-2.5130e+00 devious=1.1741e+06 Rmin=0.0000 Rmax=0.0000
*** ADD RG 66 Steps=429 RGeq=106 t=4.0850e-03 logt=-2.3888e+00 devious=8.4263e+38 Rmin=0.0000 Rmax=0.0000
*** REMOVE RG 66 where=1 Steps=430 RGeq=105 t=4.4935e-03 logt=-2.3474e+00 devious=7.6602e+38 Rmin=0.0000 Rmax=0.0000
*** ADD RG 107 Steps=430 RGeq=106 t=4.4935e-03 logt=-2.3474e+00 devious=1.7190e+06 Rmin=0.0000 Rmax=0.0000
*** REMOVE RG 107 where=1 Steps=431 RGeq=105 t=4.9429e-03 logt=-2.3060e+00 devious=1.8909e+06 Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=433 RGeq=106 t=5.9809e-03 logt=-2.2232e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=434 RGeq=107 t=6.5790e-03 logt=-2.1818e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=438 RGeq=108 t=9.6323e-03 logt=-2.0163e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 32 Steps=440 RGeq=109 t=1.1655e-02 logt=-1.9335e+00 devious=0.0000e+00 Rmin=0.0000 Rmax=0.0000
*** ADD RG 36 Steps=440 RGeq=110 t=1.1655e-02 logt=-1.9335e+00 devious=0.0000e+00 Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=440 RGeq=111 t=1.1655e-02 logt=-1.9335e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=442 RGeq=112 t=1.4103e-02 logt=-1.8507e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=443 RGeq=113 t=1.5513e-02 logt=-1.8093e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 6 Steps=448 RGeq=114 t=2.4984e-02 logt=-1.6023e+00 devious=0.0000e+00 Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=448 RGeq=115 t=2.4984e-02 logt=-1.6023e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=454 RGeq=116 t=4.4260e-02 logt=-1.3540e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=455 RGeq=117 t=4.8686e-02 logt=-1.3126e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 66 Steps=457 RGeq=118 t=5.8910e-02 logt=-1.2298e+00 devious=5.8436e+37 Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=457 RGeq=119 t=5.8910e-02 logt=-1.2298e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** REMOVE RG 66 where=1 Steps=458 RGeq=118 t=6.4801e-02 logt=-1.1884e+00 devious=5.3124e+37 Rmin=0.0000 Rmax=0.0000
*** ADD RG 107 Steps=459 RGeq=119 t=7.1282e-02 logt=-1.1470e+00 devious=2.7262e+07 Rmin=0.0000 Rmax=0.0000
*** REMOVE RG 107 where=1 Steps=460 RGeq=118 t=7.8410e-02 logt=-1.1056e+00 devious=2.9988e+07 Rmin=0.0000 Rmax=0.0000
*** ADD RG 81 Steps=497 RGeq=119 t=2.6662e+00 logt=4.2590e-01 devious=1.8148e-50 Rmin=0.0000 Rmax=0.0000
*** ADD RG 66 Steps=501 RGeq=120 t=3.9036e+00 logt=5.9147e-01 devious=3.9830e+37 Rmin=0.0000 Rmax=0.0000
*** REMOVE RG 66 where=1 Steps=502 RGeq=119 t=4.2940e+00 logt=6.3286e-01 devious=1.9836e+36 Rmin=0.0000 Rmax=0.0000
*** ADD RG 110 Steps=581 RGeq=120 t=7.9962e+03 logt=3.9029e+00 devious=1.9433e+03 Rmin=0.0904 Rmax=0.0938
*** REMOVE RG 110 where=1 Steps=582 RGeq=119 t=8.7958e+03 logt=3.9443e+00 devious=1.1703e+02 Rmin=0.0904 Rmax=0.0938
*** REMOVE RG 81 where=1 Steps=590 RGeq=118 t=1.8855e+04 logt=4.2754e+00 devious=7.5956e+00 Rmin=0.0000 Rmax=0.0000
*** ADD RG 225 Steps=603 RGeq=119 t=6.5091e+04 logt=4.8135e+00 devious=1.3445e+03 Rmin=0.0000 Rmax=0.0000
*** REMOVE RG 225 where=1 Steps=604 RGeq=118 t=7.1601e+04 logt=4.8549e+00 devious=2.3700e+20 Rmin=0.0000 Rmax=0.0000
*** ADD RG 161 Steps=605 RGeq=119 t=7.8761e+04 logt=4.8963e+00 devious=4.0613e+06 Rmin=0.0026 Rmax=0.1997
*** REMOVE RG 161 where=1 Steps=606 RGeq=118 t=8.6637e+04 logt=4.9377e+00 devious=2.0613e+06 Rmin=0.0026 Rmax=0.1997
*** ADD RG 66 Steps=609 RGeq=119 t=1.1531e+05 logt=5.0619e+00 devious=4.4149e+02 Rmin=0.0000 Rmax=0.0019
*** REMOVE RG 66 where=1 Steps=610 RGeq=118 t=1.2684e+05 logt=5.1033e+00 devious=2.0988e+00 Rmin=0.0000 Rmax=0.0019
*** ADD RG 147 Steps=621 RGeq=119 t=3.6190e+05 logt=5.5586e+00 devious=7.1289e-09 Rmin=0.0000 Rmax=0.0063
*** ADD RG 187 Steps=623 RGeq=120 t=4.3790e+05 logt=5.6414e+00 devious=2.4468e-79 Rmin=0.0000 Rmax=0.0113
*** ADD RG 231 Steps=639 RGeq=121 t=2.0121e+06 logt=6.3037e+00 devious=9.1242e-24 Rmin=0.0000 Rmax=0.0000
*** ADD RG 170 Steps=653 RGeq=122 t=7.6411e+06 logt=6.8832e+00 devious=1.6385e+15 Rmin=0.0001 Rmax=0.0005
*** REMOVE RG 170 where=1 Steps=654 RGeq=121 t=8.4052e+06 logt=6.9246e+00 devious=2.2869e+14 Rmin=0.0001 Rmax=0.0005

FINAL ABUNDANCES Y AND MASS FRACTIONS X

0 1n Y=2.964e-21 X=2.964e-21  
1 1H Y=-1.486e-19 X=-1.486e-19  
2 2H Y=-3.397e-27 X=-6.794e-27  
3 3He Y=6.993e-39 X=2.098e-38  
4 4He Y=-9.233e-22 X=-3.693e-21  
5 6Li Y=-2.251e-48 X=-1.351e-47  
6 7Li Y=3.569e-53 X=2.498e-52  
7 7Be Y=-1.080e-50 X=-7.558e-50  
8 9Be Y=-2.119e-76 X=-1.907e-75  
9 8B Y=5.004e-38 X=4.003e-37 (Asy)
10 10B Y=4.438e-82 X=4.438e-81  
11 11B Y=4.950e-89 X=5.445e-88  
12 12C Y=4.166e-02 X=5.000e-01  
13 13C Y=-1.657e-11 X=-2.153e-10  
14 14C Y=-1.578e-21 X=-2.209e-20  
15 13N Y=-6.778e-28 X=-8.811e-27 (Asy)
16 14N Y=1.719e-23 X=2.406e-22  
17 15N Y=2.686e-26 X=4.028e-25  
18 14O Y=-3.187e-31 X=-4.461e-30  
19 15O Y=1.003e-28 X=1.504e-27  
20 16O Y=3.125e-02 X=5.000e-01  
21 17O Y=-1.231e-14 X=-2.092e-13  
22 18O Y=-6.853e-20 X=-1.234e-18  
23 17Fl Y=-3.151e-28 X=-5.357e-27  
24 18Fl Y=-1.350e-24 X=-2.431e-23  
25 19Fl Y=1.274e-22 X=2.420e-21  
26 18Ne Y=1.222e-26 X=2.200e-25  
27 19Ne Y=-1.409e-31 X=-2.677e-30  
28 20Ne Y=-1.525e-36 X=-3.050e-35  
29 21Ne Y=3.434e-22 X=7.212e-21  
30 22Ne Y=-3.211e-31 X=-7.064e-30  
31 21Na Y=5.351e-31 X=1.124e-29 (Asy)
32 22Na Y=2.140e-40 X=4.708e-39  
33 23Na Y=1.931e-22 X=4.441e-21  
34 23Mg Y=-9.202e-32 X=-2.117e-30  
35 24Mg Y=1.858e-22 X=4.460e-21  
36 25Mg Y=2.762e-22 X=6.905e-21  
37 26Mg Y=-6.791e-30 X=-1.766e-28  
38 24Al Y=2.458e-33 X=5.900e-32 (Asy)
39 25Al Y=-5.317e-32 X=-1.329e-30  
40 26Al Y=-5.426e-41 X=-1.411e-39  
41 27Al Y=4.412e-39 X=1.191e-37  
42 28Si Y=1.017e-73 X=2.848e-72  
