# All quantities actual values (not log10) 
#
# time(s)    dt(s)      dE(erg)  E(erg/g/s)    T(K)    rho(g/cm^3) 2/Rmax(s)
2.0032e+00 2.0032e-01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.4239e+00 2.4239e-01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.6662e+00 2.6662e-01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
3.2261e+00 3.2261e-01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
3.5488e+00 3.5488e-01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
4.2940e+00 4.2940e-01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
4.7234e+00 4.7234e-01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
5.7153e+00 5.7153e-01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
6.2869e+00 6.2869e-01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
7.6071e+00 7.6071e-01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
8.3678e+00 8.3678e-01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.0125e+01 1.0125e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.1138e+01 1.1138e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.3476e+01 1.3476e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.4824e+01 1.4824e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.7937e+01 1.7937e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.9731e+01 1.9731e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.3874e+01 2.3874e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.6262e+01 2.6262e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
3.1777e+01 3.1777e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
3.4954e+01 3.4954e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
4.2295e+01 4.2295e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
4.6524e+01 4.6524e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
5.6294e+01 5.6294e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
6.1924e+01 6.1924e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
7.4928e+01 7.4928e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
8.2421e+01 8.2421e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
9.0663e+01 9.0663e+00 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.0970e+02 1.0970e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.2067e+02 1.2067e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.4601e+02 1.4601e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.6061e+02 1.6061e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.9434e+02 1.9434e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.1378e+02 2.1378e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.5867e+02 2.5867e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.8454e+02 2.8454e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
3.4429e+02 3.4429e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
3.7872e+02 3.7872e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
4.5825e+02 4.5825e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
5.0408e+02 5.0408e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
6.0993e+02 6.0993e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
6.7093e+02 6.7093e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
8.1182e+02 8.1182e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
8.9300e+02 8.9300e+01 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.0805e+03 1.0805e+02 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.1886e+03 1.1886e+02 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.4382e+03 1.4382e+02 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.5820e+03 1.5820e+02 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
1.9142e+03 1.9142e+02 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.1057e+03 2.1057e+02 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
2.5478e+03 2.5478e+02 -1.1476e-01 -2.6581e+01 2.5000e+07 1.0000e+02 5.5927e-01
2.8026e+03 2.8026e+02 1.0433e-01 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
3.3912e+03 3.3912e+02 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
3.7303e+03 3.7303e+02 -1.5677e-01 -5.3162e+01 2.5000e+07 1.0000e+02 5.5927e-01
4.5137e+03 4.5137e+02 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
4.9650e+03 4.9650e+02 0.0000e+00 0.0000e+00 2.5000e+07 1.0000e+02 5.5927e-01
6.0077e+03 6.0077e+02 2.9202e-01 2.6581e+01 2.5000e+07 1.0000e+02 5.5927e-01
6.6084e+03 6.6084e+02 0.0000e+00 2.6581e+01 2.5000e+07 1.0000e+02 5.5927e-01
7.9962e+03 7.9962e+02 -4.0223e-01 -2.6581e+02 2.5000e+07 1.0000e+02 5.5927e-01
8.7958e+03 8.7958e+02 3.9890e-01 5.3162e+01 2.5000e+07 1.0000e+02 5.5927e-01
1.0643e+04 1.0643e+03 0.0000e+00 5.3162e+01 2.5000e+07 1.0000e+02 5.5927e-01
1.1707e+04 1.1707e+03 -5.7443e-01 -5.5820e+02 2.5000e+07 1.0000e+02 5.5927e-01
1.2878e+04 1.2878e+03 5.6762e-01 1.0632e+02 2.5000e+07 1.0000e+02 5.5927e-01
1.5582e+04 1.5582e+03 0.0000e+00 1.0632e+02 2.5000e+07 1.0000e+02 5.5927e-01
1.7141e+04 1.7141e+03 -8.5292e-01 -1.2227e+03 2.5000e+07 1.0000e+02 5.5927e-01
2.0740e+04 2.0740e+03 0.0000e+00 2.3923e+02 2.5000e+07 1.0000e+02 5.5927e-01
2.2814e+04 2.2814e+03 0.0000e+00 2.3923e+02 2.5000e+07 1.0000e+02 5.5927e-01
2.7605e+04 2.7605e+03 1.2498e+00 5.3162e+02 2.5000e+07 1.0000e+02 5.5927e-01
3.0366e+04 3.0366e+03 0.0000e+00 5.3162e+02 2.5000e+07 1.0000e+02 5.5927e-01
3.6742e+04 3.6742e+03 -1.8303e+00 -5.5820e+03 2.5000e+07 1.0000e+02 5.5927e-01
4.0417e+04 4.0417e+03 1.8303e+00 1.1430e+03 2.5000e+07 1.0000e+02 5.5927e-01
4.8904e+04 4.8904e+03 0.0000e+00 1.1430e+03 2.5000e+07 1.0000e+02 5.5927e-01
5.3795e+04 5.3795e+03 -2.6796e+00 -1.1961e+04 2.5000e+07 1.0000e+02 5.5927e-01
6.5091e+04 6.5091e+03 0.0000e+00 2.4720e+03 2.5000e+07 1.0000e+02 5.5927e-01
7.1601e+04 7.1601e+03 0.0000e+00 2.4720e+03 2.5000e+07 1.0000e+02 5.5927e-01
8.6637e+04 8.6637e+03 3.9284e+00 5.2896e+03 2.5000e+07 1.0000e+02 5.5927e-01
9.5300e+04 9.5300e+03 0.0000e+00 5.2896e+03 2.5000e+07 1.0000e+02 5.5927e-01
1.1531e+05 1.1531e+04 -5.7508e+00 -5.4996e+04 2.5000e+07 1.0000e+02 5.5927e-01
1.2684e+05 1.2684e+04 5.7512e+00 1.1323e+04 2.5000e+07 1.0000e+02 5.5927e-01
1.5348e+05 1.5348e+04 0.0000e+00 1.1323e+04 2.5000e+07 1.0000e+02 5.5927e-01
1.6883e+05 1.6883e+04 -8.4220e+00 -1.1794e+05 2.5000e+07 1.0000e+02 5.5927e-01
2.0428e+05 2.0428e+04 0.0000e+00 2.4242e+04 2.5000e+07 1.0000e+02 5.5927e-01
2.2471e+05 2.2471e+04 0.0000e+00 2.4242e+04 2.5000e+07 1.0000e+02 5.5927e-01
2.7190e+05 2.7190e+04 1.2329e+01 5.1939e+04 2.5000e+07 1.0000e+02 5.5927e-01
2.9909e+05 2.9909e+04 0.0000e+00 5.1939e+04 2.5000e+07 1.0000e+02 5.5927e-01
3.6190e+05 3.6190e+04 -1.8050e+01 -5.4191e+05 2.5000e+07 1.0000e+02 5.5927e-01
3.9809e+05 3.9809e+04 1.8050e+01 1.1132e+05 2.5000e+07 1.0000e+02 5.5927e-01
4.8169e+05 4.8169e+04 0.0000e+00 1.1132e+05 2.5000e+07 1.0000e+02 5.5927e-01
5.2986e+05 5.2986e+04 -2.6427e+01 -1.1616e+06 2.5000e+07 1.0000e+02 5.5927e-01
6.4113e+05 6.4113e+04 0.0000e+00 2.3862e+05 2.5000e+07 1.0000e+02 5.5927e-01
7.0525e+05 7.0525e+04 0.0000e+00 2.3862e+05 2.5000e+07 1.0000e+02 5.5927e-01
8.5335e+05 8.5335e+04 3.8690e+01 5.1144e+05 2.5000e+07 1.0000e+02 5.5927e-01
9.3868e+05 9.3868e+04 0.0000e+00 5.1144e+05 2.5000e+07 1.0000e+02 5.5927e-01
1.1358e+06 1.1358e+05 -5.6647e+01 -5.3377e+06 2.5000e+07 1.0000e+02 5.5927e-01
1.2494e+06 1.2494e+05 5.6647e+01 1.0964e+06 2.5000e+07 1.0000e+02 5.5927e-01
1.5118e+06 1.5118e+05 0.0000e+00 1.0964e+06 2.5000e+07 1.0000e+02 5.5927e-01
1.6629e+06 1.6629e+05 -8.2938e+01 -1.1442e+07 2.5000e+07 1.0000e+02 5.5927e-01
1.8292e+06 1.8292e+05 8.2938e+01 2.3502e+06 2.5000e+07 1.0000e+02 5.5927e-01
2.2134e+06 2.2134e+05 0.0000e+00 2.3502e+06 2.5000e+07 1.0000e+02 5.5927e-01
2.4347e+06 2.4347e+05 -1.2143e+02 -2.4527e+07 2.5000e+07 1.0000e+02 5.5927e-01
2.9460e+06 2.9460e+05 0.0000e+00 5.0379e+06 2.5000e+07 1.0000e+02 5.5927e-01
3.2406e+06 3.2406e+05 0.0000e+00 5.0379e+06 2.5000e+07 1.0000e+02 5.5927e-01
3.9211e+06 3.9211e+05 1.7778e+02 1.0799e+07 2.5000e+07 1.0000e+02 5.5927e-01
4.3132e+06 4.3132e+05 0.0000e+00 1.0799e+07 2.5000e+07 1.0000e+02 5.5927e-01
5.2190e+06 5.2190e+05 -2.6029e+02 -1.1270e+08 2.5000e+07 1.0000e+02 5.5927e-01
5.7409e+06 5.7409e+05 2.6029e+02 2.3149e+07 2.5000e+07 1.0000e+02 5.5927e-01
6.9465e+06 6.9465e+05 0.0000e+00 2.3149e+07 2.5000e+07 1.0000e+02 5.5927e-01
7.6411e+06 7.6411e+05 -3.8110e+02 -2.4158e+08 2.5000e+07 1.0000e+02 5.5927e-01
9.2458e+06 9.2458e+05 0.0000e+00 4.9622e+07 2.5000e+07 1.0000e+02 5.5927e-01
1.0170e+07 1.0170e+06 0.0000e+00 4.9622e+07 2.5000e+07 1.0000e+02 5.5927e-01
